Identifier_String='characters',	File_Path And_Name='test/corpus/single-cr-as-whitespace.rb', 	Start_Point='(1:10)', 	End_Point='(1:20)', 	Rules_Violated='	Number_Of_Words_Violation'

Identifier_String='as',	File_Path And_Name='test/corpus/single-cr-as-whitespace.rb', 	Start_Point='(1:21)', 	End_Point='(1:23)', 	Rules_Violated='	Number_Of_Words_Violation	Short_Identifier_Name_Violation'

Identifier_String='whitespace',	File_Path And_Name='test/corpus/single-cr-as-whitespace.rb', 	Start_Point='(1:24)', 	End_Point='(1:34)', 	Rules_Violated='	Dictionary_Words_Violation	Number_Of_Words_Violation'

Identifier_String='puts',	File_Path And_Name='test/corpus/single-cr-as-whitespace.rb', 	Start_Point='(4:0)', 	End_Point='(4:4)', 	Rules_Violated='	Number_Of_Words_Violation	Short_Identifier_Name_Violation'

Identifier_String='program',	File_Path And_Name='test/corpus/single-cr-as-whitespace.rb', 	Start_Point='(8:1)', 	End_Point='(8:8)', 	Rules_Violated='	Number_Of_Words_Violation	Short_Identifier_Name_Violation'

Identifier_String='call',	File_Path And_Name='test/corpus/single-cr-as-whitespace.rb', 	Start_Point='(8:10)', 	End_Point='(8:14)', 	Rules_Violated='	Number_Of_Words_Violation	Short_Identifier_Name_Violation'

Identifier_String='identifier',	File_Path And_Name='test/corpus/single-cr-as-whitespace.rb', 	Start_Point='(8:16)', 	End_Point='(8:26)', 	Rules_Violated='	Number_Of_Words_Violation'

Identifier_String='argument_list',	File_Path And_Name='test/corpus/single-cr-as-whitespace.rb', 	Start_Point='(8:29)', 	End_Point='(8:42)', 	Rules_Violated='	Dictionary_Words_Violation'

Identifier_String='string',	File_Path And_Name='test/corpus/single-cr-as-whitespace.rb', 	Start_Point='(8:44)', 	End_Point='(8:50)', 	Rules_Violated='	Number_Of_Words_Violation	Short_Identifier_Name_Violation'

Identifier_String='string_content',	File_Path And_Name='test/corpus/single-cr-as-whitespace.rb', 	Start_Point='(8:52)', 	End_Point='(8:66)', 	Rules_Violated='	Dictionary_Words_Violation'

Identifier_String='require',	File_Path And_Name='test/highlight/classes.rb', 	Start_Point='(0:0)', 	End_Point='(0:7)', 	Rules_Violated='	Number_Of_Words_Violation	Short_Identifier_Name_Violation'

Identifier_String='init',	File_Path And_Name='test/highlight/classes.rb', 	Start_Point='(7:6)', 	End_Point='(7:10)', 	Rules_Violated='	Number_Of_Words_Violation	Short_Identifier_Name_Violation'

Identifier_String='id',	File_Path And_Name='test/highlight/classes.rb', 	Start_Point='(7:11)', 	End_Point='(7:13)', 	Rules_Violated='	Number_Of_Words_Violation	Short_Identifier_Name_Violation'

Identifier_String='id',	File_Path And_Name='test/highlight/classes.rb', 	Start_Point='(11:10)', 	End_Point='(11:12)', 	Rules_Violated='	Number_Of_Words_Violation	Short_Identifier_Name_Violation'

Identifier_String='private',	File_Path And_Name='test/highlight/classes.rb', 	Start_Point='(23:2)', 	End_Point='(23:9)', 	Rules_Violated='	Number_Of_Words_Violation	Short_Identifier_Name_Violation'

Identifier_String='public',	File_Path And_Name='test/highlight/classes.rb', 	Start_Point='(26:2)', 	End_Point='(26:8)', 	Rules_Violated='	Number_Of_Words_Violation	Short_Identifier_Name_Violation'

Identifier_String='protected',	File_Path And_Name='test/highlight/classes.rb', 	Start_Point='(29:2)', 	End_Point='(29:11)', 	Rules_Violated='	Number_Of_Words_Violation'

Identifier_String='new',	File_Path And_Name='test/highlight/constants.rb', 	Start_Point='(12:32)', 	End_Point='(12:35)', 	Rules_Violated='	Number_Of_Words_Violation	Short_Identifier_Name_Violation'

Identifier_String='inspect',	File_Path And_Name='test/highlight/constants.rb', 	Start_Point='(12:37)', 	End_Point='(12:44)', 	Rules_Violated='	Number_Of_Words_Violation	Short_Identifier_Name_Violation'

Identifier_String='__FILE__',	File_Path And_Name='test/highlight/constants.rb', 	Start_Point='(21:3)', 	End_Point='(21:11)', 	Rules_Violated='	Dictionary_Words_Violation	Consecutive_Underscores_Violation	External_Underscores_Violation	Number_Of_Words_Violation'

Identifier_String='expr',	File_Path And_Name='test/highlight/patterns.rb', 	Start_Point='(0:0)', 	End_Point='(0:4)', 	Rules_Violated='	Dictionary_Words_Violation	Number_Of_Words_Violation	Short_Identifier_Name_Violation'

Identifier_String='__LINE__',	File_Path And_Name='test/highlight/patterns.rb', 	Start_Point='(0:16)', 	End_Point='(0:24)', 	Rules_Violated='	Dictionary_Words_Violation	Consecutive_Underscores_Violation	External_Underscores_Violation	Number_Of_Words_Violation'

Identifier_String='__FILE__',	File_Path And_Name='test/highlight/patterns.rb', 	Start_Point='(0:27)', 	End_Point='(0:35)', 	Rules_Violated='	Dictionary_Words_Violation	Consecutive_Underscores_Violation	External_Underscores_Violation	Number_Of_Words_Violation'

Identifier_String='__ENCODING__',	File_Path And_Name='test/highlight/patterns.rb', 	Start_Point='(0:38)', 	End_Point='(0:50)', 	Rules_Violated='	Dictionary_Words_Violation	Consecutive_Underscores_Violation	External_Underscores_Violation	Number_Of_Words_Violation'

Identifier_String='expr',	File_Path And_Name='test/highlight/patterns.rb', 	Start_Point='(6:5)', 	End_Point='(6:9)', 	Rules_Violated='	Dictionary_Words_Violation	Number_Of_Words_Violation	Short_Identifier_Name_Violation'

Identifier_String='one',	File_Path And_Name='test/highlight/variables.rb', 	Start_Point='(0:0)', 	End_Point='(0:3)', 	Rules_Violated='	Number_Of_Words_Violation	Short_Identifier_Name_Violation	Numeric_Identifier_Name_Violation'

Identifier_String='two',	File_Path And_Name='test/highlight/variables.rb', 	Start_Point='(3:4)', 	End_Point='(3:7)', 	Rules_Violated='	Number_Of_Words_Violation	Short_Identifier_Name_Violation	Numeric_Identifier_Name_Violation'

Identifier_String='three',	File_Path And_Name='test/highlight/variables.rb', 	Start_Point='(4:2)', 	End_Point='(4:7)', 	Rules_Violated='	Number_Of_Words_Violation	Short_Identifier_Name_Violation	Numeric_Identifier_Name_Violation'

Identifier_String='one',	File_Path And_Name='test/highlight/variables.rb', 	Start_Point='(4:10)', 	End_Point='(4:13)', 	Rules_Violated='	Number_Of_Words_Violation	Short_Identifier_Name_Violation	Numeric_Identifier_Name_Violation'

Identifier_String='four',	File_Path And_Name='test/highlight/variables.rb', 	Start_Point='(8:2)', 	End_Point='(8:6)', 	Rules_Violated='	Number_Of_Words_Violation	Short_Identifier_Name_Violation	Numeric_Identifier_Name_Violation'

