Identifier_String='characters',	File_Path And_Name='test/corpus/single-cr-as-whitespace.rb', 	Start_Point='(1:10)', 	End_Point='(1:20)'

Identifier_String='as',	File_Path And_Name='test/corpus/single-cr-as-whitespace.rb', 	Start_Point='(1:21)', 	End_Point='(1:23)'

Identifier_String='whitespace',	File_Path And_Name='test/corpus/single-cr-as-whitespace.rb', 	Start_Point='(1:24)', 	End_Point='(1:34)'

Identifier_String='puts',	File_Path And_Name='test/corpus/single-cr-as-whitespace.rb', 	Start_Point='(4:0)', 	End_Point='(4:4)'

Identifier_String='program',	File_Path And_Name='test/corpus/single-cr-as-whitespace.rb', 	Start_Point='(8:1)', 	End_Point='(8:8)'

Identifier_String='call',	File_Path And_Name='test/corpus/single-cr-as-whitespace.rb', 	Start_Point='(8:10)', 	End_Point='(8:14)'

Identifier_String='identifier',	File_Path And_Name='test/corpus/single-cr-as-whitespace.rb', 	Start_Point='(8:16)', 	End_Point='(8:26)'

Identifier_String='argument_list',	File_Path And_Name='test/corpus/single-cr-as-whitespace.rb', 	Start_Point='(8:29)', 	End_Point='(8:42)'

Identifier_String='string',	File_Path And_Name='test/corpus/single-cr-as-whitespace.rb', 	Start_Point='(8:44)', 	End_Point='(8:50)'

Identifier_String='string_content',	File_Path And_Name='test/corpus/single-cr-as-whitespace.rb', 	Start_Point='(8:52)', 	End_Point='(8:66)'

Identifier_String='require',	File_Path And_Name='test/highlight/classes.rb', 	Start_Point='(0:0)', 	End_Point='(0:7)'

Identifier_String='init',	File_Path And_Name='test/highlight/classes.rb', 	Start_Point='(7:6)', 	End_Point='(7:10)'

Identifier_String='id',	File_Path And_Name='test/highlight/classes.rb', 	Start_Point='(7:11)', 	End_Point='(7:13)'

Identifier_String='id',	File_Path And_Name='test/highlight/classes.rb', 	Start_Point='(11:10)', 	End_Point='(11:12)'

Identifier_String='private',	File_Path And_Name='test/highlight/classes.rb', 	Start_Point='(23:2)', 	End_Point='(23:9)'

Identifier_String='public',	File_Path And_Name='test/highlight/classes.rb', 	Start_Point='(26:2)', 	End_Point='(26:8)'

Identifier_String='protected',	File_Path And_Name='test/highlight/classes.rb', 	Start_Point='(29:2)', 	End_Point='(29:11)'

Identifier_String='new',	File_Path And_Name='test/highlight/constants.rb', 	Start_Point='(12:32)', 	End_Point='(12:35)'

Identifier_String='inspect',	File_Path And_Name='test/highlight/constants.rb', 	Start_Point='(12:37)', 	End_Point='(12:44)'

Identifier_String='__FILE__',	File_Path And_Name='test/highlight/constants.rb', 	Start_Point='(21:3)', 	End_Point='(21:11)'

Identifier_String='expr',	File_Path And_Name='test/highlight/patterns.rb', 	Start_Point='(0:0)', 	End_Point='(0:4)'

Identifier_String='__LINE__',	File_Path And_Name='test/highlight/patterns.rb', 	Start_Point='(0:16)', 	End_Point='(0:24)'

Identifier_String='__FILE__',	File_Path And_Name='test/highlight/patterns.rb', 	Start_Point='(0:27)', 	End_Point='(0:35)'

Identifier_String='__ENCODING__',	File_Path And_Name='test/highlight/patterns.rb', 	Start_Point='(0:38)', 	End_Point='(0:50)'

Identifier_String='expr',	File_Path And_Name='test/highlight/patterns.rb', 	Start_Point='(6:5)', 	End_Point='(6:9)'

Identifier_String='one',	File_Path And_Name='test/highlight/variables.rb', 	Start_Point='(0:0)', 	End_Point='(0:3)'

